"DATASET SUELO INTELIGENTE + NASA POWER — SOCONUSCO, CHIAPAS  |  3,000 lecturas  |  25 parcelas  |  2015-2024",,,,,,,,,,,,,,,,,,,,,,,,,
"ID
Parcela",Cultivo,Municipio,Año,Mes,"Num
Mes","T
Total",pH,"Humedad
%","N
ppm","P
ppm","K
ppm","CE
dS/m","Temp
°C","Aplic.
N","Aplic.
P","Aplic.
K",Encal.,Estado,"NASA
T2M °C","NASA
RH2M %","NASA
Prec
mm/día","NASA
GWET
suelo",Lat,Lon,
P001,Cacao,Tapachula,2015,Ene,1,0,6.17,40.7,31.7,18.4,168.6,1.17,26.5,0,0,0,0,Óptimo,27,73,0,0.407,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Feb,2,1,6.16,33.1,33.3,16.6,158.9,1.16,26.7,0,0,0,0,Precaución,27.5,71.5,0.04,0.331,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Mar,3,2,6.16,43.7,30.5,18.9,156.9,1.24,28.2,0,0,0,0,Óptimo,28.4,70,0.36,0.437,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Abr,4,3,6.11,44.6,28.9,19.1,158,1.22,28.9,0,0,0,0,Óptimo,28.9,72,1.7,0.446,14.9,-92.27,97
P001,Cacao,Tapachula,2015,May,5,4,6.22,69.8,31.3,18.7,160.2,1.19,28.5,0,0,0,0,Óptimo,28.5,75.3,4.37,0.698,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Jun,6,5,6.13,87.6,31.9,17.2,164.9,1.24,27,0,0,0,0,Óptimo,27.2,85.2,7.97,0.876,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Jul,7,6,6.17,79.3,39,18.2,167.9,1.23,26.4,8,0,6,0,Óptimo,26.6,87.8,7.02,0.793,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Ago,8,7,6.19,79.1,30.2,18.1,157.7,1.26,26.4,0,0,0,0,Óptimo,26.8,86.7,8.46,0.791,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Sep,9,8,6.19,91.5,29.6,17.2,161.9,1.3,26.2,0,0,0,0,Precaución,26.6,86.5,9.18,0.915,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Oct,10,9,6.14,84.5,32.2,17.5,157.1,1.28,26,0,0,0,0,Óptimo,26.9,88.8,7.08,0.845,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Nov,11,10,6.14,63.5,32.5,18.6,162,1.27,26,0,0,0,0,Óptimo,26,82.7,3.01,0.635,14.9,-92.27,97
P001,Cacao,Tapachula,2015,Dic,12,11,6.06,46.7,30,17.7,168.1,1.19,26.4,0,0,0,0,Óptimo,26.4,71.6,0.78,0.467,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Ene,1,12,6.21,38.7,38.4,21.1,167.3,1.28,26.1,8,4,6,0,Óptimo,26.9,72.8,0.14,0.387,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Feb,2,13,6.13,37.9,29.8,17,155.3,1.25,27.1,0,0,0,0,Óptimo,27,70.5,0,0.379,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Mar,3,14,6.17,37.9,31.4,18.4,159.8,1.22,27.9,0,0,0,0,Óptimo,27.6,70.5,1.29,0.379,14.9,-92.27,97
P001,Cacao,Tapachula,2016,Abr,4,15,6.13,41.1,28.5,16.8,160.8,1.22,28.5,0,0,0,0,Óptimo,28.4,72.7,1.37,0.411,14.9,-92.27,97
P001,Cacao,Tapachula,2016,May,5,16,6.15,69.3,31,15.9,154.8,1.23,28.3,0,0,0,0,Óptimo,28.2,79.3,3.39,0.693,14.9,-92.27,97
